"Rank","Player","TACKLE","ASSIST","SACK","PD","INT","FF","FR","DEF TD","G","FPTS","FPTS/G","ROST"
"278","Kendal Vickers (BUF)","4","6","0","0","0","0","0","0","7","10.7","1.5","0.3%"
"279","Akeem Spence (FA)","4","6","0","0","0","0","0","0","6","10.6","1.8","0.0%"
"280","David Ojabo (BAL)","1","0","1","0","0","1","0","0","1","9.5","9.5","3.8%"
"281","Keir Thomas (LAR)","3","0","0","0","0","0","0","0","4","9.5","2.4","0.8%"
"282","Malik Herring (KC)","1","5","0","0","0","0","1","0","5","9.4","1.9","0.7%"
"283","Jonathan Garvin (GB)","0","8","0","2","0","0","0","0","11","9.2","0.8","0.1%"
"284","Jamir Jones (FA)","3","4","0","1","0","0","0","0","10","9.1","0.9","0.0%"
"285","Christian Elliss (PHI)","5","2","0","0","0","0","0","0","3","9.0","3.0","0.4%"
"286","Esezi Otomewo (MIN)","3","2","0","0","0","0","0","0","5","8.6","1.7","13.7%"
"287","Carlos Davis (ATL)","1","0","1","0","0","0","0","0","1","8.0","8.0","0.3%"
"288","Eric Johnson II (IND)","1","3","0","0","0","0","1","0","4","7.9","2.0","0.1%"
"289","Patrick O'Connor (TB)","2","3","0","0","0","0","0","0","6","7.8","1.3","16.0%"
"290","Kingsley Jonathan (BUF)","2","3","0","0","0","0","0","0","4","7.8","2.0","0.3%"
"291","Shaka Toney (WAS)","3","1","0","0","0","0","0","0","6","7.8","1.3","0.0%"
"292","Anthony Rush (FA)","3","4","0","0","0","0","0","0","4","7.7","1.9","0.3%"
"293","Chase Young (WAS)","3","2","0","1","0","0","0","0","3","7.6","2.5","33.0%"
"294","Tarell Basham (CIN)","1","4","0","0","0","0","0","0","5","7.1","1.4","0.7%"
"295","Benning Potoa'e (WAS)","2","2","0","0","0","0","0","0","2","7.1","3.6","0.7%"
"296","Daviyon Nixon (FA)","3","3","0","0","0","0","0","0","6","6.9","1.2","0.7%"
"297","Brandon Williams (FA)","1","1","0.5","0","0","0","0","0","3","6.8","2.3","0.0%"
"298","Matthew Butler (LV)","1","4","0.5","0","0","0","0","0","5","6.7","1.3","0.0%"
"299","T.J. Smith (MIN)","1","3","0","0","0","0","0","0","1","6.3","6.3","0.7%"
"300","Ben Banogu (DAL)","3","2","0","0","0","0","0","0","8","6.1","0.8","0.3%"
"301","Manny Jones (PIT)","2","4","0","0","0","0","0","0","3","6.1","2.0","0.0%"
"302","Antwaun Woods (FA)","2","0","0","0","0","0","0","0","1","5.5","5.5","0.0%"
"303","Darryl Johnson (SF)","1","2","0","0","0","0","0","0","3","5.5","1.8","0.1%"
"304","Isaiah Mack (NYJ)","1","2","0","0","0","0","0","0","1","5.5","5.5","0.3%"
"305","Tanzel Smart (NYJ)","2","3","0","0","0","0","0","0","3","5.4","1.8","0.4%"
"306","Michael Brockers (FA)","1","3","0","1","0","0","0","0","4","5.3","1.3","0.0%"
"307","Malcolm Koonce (LV)","3","1","0","0","0","0","0","0","10","5.3","0.5","0.1%"
"308","Javon Kinlaw (SF)","2","2","0","0","0","0","0","0","5","4.6","0.9","1.3%"
"309","D.J. Davidson (FA)","2","2","0","0","0","0","0","0","4","4.6","1.2","1.0%"
"310","Demone Harris (HOU)","0","4","0","1","0","0","0","0","2","4.5","2.3","0.3%"
"311","Vernon Butler (NYG)","2","2","0","0","0","0","0","0","1","4.5","4.5","0.1%"
"312","Marvin Wilson (ARI)","2","2","0","0","0","0","0","0","1","4.5","4.5","0.0%"
"313","Trey Flowers (FA)","1","3","0","0","0","0","0","0","4","3.9","1.0","0.3%"
"314","Ben Stille (ARI)","0","5","0","0","0","0","0","0","4","3.9","1.0","0.1%"
"315","Prince Emili (NO)","0","3","0","1","0","0","0","0","1","3.8","3.8","0.0%"
"316","Rayshad Nichols (BAL)","1","3","0","0","0","0","0","0","1","3.8","3.8","0.0%"
"317","Wyatt Ray (FA)","2","1","0","0","0","0","0","0","3","3.8","1.3","0.1%"
"318","Ola Adeniyi (FA)","2","1","0","0","0","0","0","0","2","3.8","1.9","0.0%"
"319","Christopher Hinton (LAC)","1","2","0","0","0","0","0","0","3","3.1","1.0","0.4%"
"320","Taco Charlton (FA)","1","2","0","0","0","0","0","0","3","3.1","1.0","0.0%"
"321","Jabari Zuniga (NO)","2","0","0","0","0","0","0","0","1","3.0","3.0","0.3%"
"322","Jalyn Holmes (CHI)","1","2","0","0","0","0","0","0","1","3.0","3.0","1.0%"
"323","David Moa (LAC)","2","0","0","0","0","0","0","0","1","3.0","3.0","0.3%"
"324","C.J. Brewer (TB)","2","0","0","0","0","0","0","0","1","3.0","3.0","1.0%"
"325","Roderick Perry II (FA)","1","1","0","0","0","0","0","0","2","2.3","1.2","0.1%"
"326","Domenique Davis (CIN)","0","3","0","0","0","0","0","0","2","2.3","1.2","0.3%"
"327","Phil Hoskins (KC)","1","1","0","0","0","0","0","0","2","2.3","1.2","0.4%"
"328","Will Bradley-King (WAS)","1","1","0","0","0","0","0","0","1","2.3","2.3","0.3%"
"329","Chris Williams (KC)","1","1","0","0","0","0","0","0","3","2.3","0.8","0.1%"
"330","Luiji Vilain (MIN)","1","1","0","0","0","0","0","0","3","2.3","0.8","0.1%"
"331","Sam Roberts (NE)","1","1","0","0","0","0","0","0","2","2.3","1.2","0.0%"
"332","Tyeler Davison (FA)","1","0","0","0","0","0","0","0","1","1.5","1.5","0.0%"
"333","Elijah Garcia (DEN)","1","0","0","0","0","0","0","0","1","1.5","1.5","0.0%"
"334","Jonathan Kongbo (FA)","1","0","0","0","0","0","0","0","2","1.5","0.8","1.1%"
"335","Andrew Brown (CHI)","1","0","0","0","0","0","0","0","1","1.5","1.5","0.7%"
"336","Donovan Jeter (CHI)","1","0","0","0","0","0","0","0","1","1.5","1.5","1.0%"
"337","David Bada (WAS)","0","2","0","0","0","0","0","0","1","1.5","1.5","1.0%"
"338","Kameron Cline (BUF)","1","0","0","0","0","0","0","0","1","1.5","1.5","0.3%"
"339","Kemoko Turay (FA)","1","0","0","0","0","0","0","0","2","1.5","0.8","0.0%"
"340","Arron Mosby (CAR)","1","0","0","0","0","0","0","0","1","1.5","1.5","1.1%"
"341","Steven Means (FA)","1","0","0","0","0","0","0","0","1","1.5","1.5","0.0%"
"342","Quincy Roche (PIT)","0","1","0","0","0","0","0","0","2","0.8","0.4","0.3%"
"343","Daniel Wise (KC)","0","1","0","0","0","0","0","0","2","0.8","0.4","0.1%"
"344","Justin Zimmer (FA)","0","1","0","0","0","0","0","0","1","0.8","0.8","0.1%"
"345","Christian Ringo (FA)","0","1","0","0","0","0","0","0","1","0.8","0.8","0.0%"
"346","Khalid Kareem (IND)","0","1","0","0","0","0","0","0","3","0.8","0.3","0.7%"
"347","La'Darius Hamilton (GB)","0","1","0","0","0","0","0","0","3","0.8","0.3","0.3%"
"348","Jeff Gunter (FA)","0","1","0","0","0","0","0","0","3","0.8","0.3","0.1%"
"349","De'Shaan Dixon (JAC)","0","1","0","0","0","0","0","0","1","0.8","0.8","0.7%"
"350","Elerson Smith (NYG)","0","1","0","0","0","0","0","0","3","0.8","0.3","0.3%"
"351","Tashawn Bower (FA)","0","1","0","0","0","0","0","0","2","0.8","0.4","0.0%"
"352","Eric Banks (ARI)","0","1","0","0","0","0","0","0","1","0.8","0.8","0.0%"
"353","Tyler Shelvin (TEN)","0","1","0","0","0","0","0","0","1","0.8","0.8","0.3%"
"354","Anfernee Jennings (NE)","15","12","1.5","2","0","1","0","0","16","0.0","0.0","0.1%"
"355","Anthony Pittman (DET)","0","1","0","0","0","1","0","0","7","0.0","0.0","0.3%"
"356","Curtis Weaver (MIN)","0","0","0","0","0","0","0","0","0","0","0","0.3%"
"357","Marlon Davidson (SF)","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"358","Marquiss Spencer (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0.3%"
"359","Cam Gill (TB)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"360","Carlo Kemp (GB)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"361","John Penisini (CAR)","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"362","Janarius Robinson (PHI)","0","0","0","0","0","0","0","0","0","0","0","0.3%"
"363","Kobe Smith (NYG)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"364","Bill Murray (NE)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"365","Rashod Berry (IND)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"366","Micah Parsons (DAL)","43","22","13.5","3","0","3","3","1","17","0.0","0.0","80.6%"
"367","LaCale London (ATL)","0","0","0","0","0","0","0","0","0","0","0","3.9%"
"368","Niko Lalos (NO)","0","0","0","0","0","0","0","0","0","0","0","0.4%"
"369","Willington Previlon (TB)","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"370","Matt Leo (PHI)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"371","Tipa Galeai (FA)","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"372","T.J. Carter (LAR)","0","1","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"373","Shaquille Quarterman (JAC)","3","1","0","0","0","1","0","0","10","0.0","0.0","0.1%"
"374","Bradlee Anae (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0.3%"
"375","Alex Highsmith (PIT)","38","25","14.5","1","0","5","0","0","17","0.0","0.0","47.5%"
"376","McTelvin Agim (IND)","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"377","Raequan Williams (CAR)","0","0","0","0","0","0","0","0","0","0","0","0.3%"
"378","Alton Robinson (SEA)","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"379","Jordan Smith (JAC)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.3%"
"380","Casey Toohill (WAS)","11","12","1","0","0","0","2","1","15","0.0","0.0","0.6%"
