"Rank","Player","TACKLE","ASSIST","SACK","PD","INT","FF","FR","DEF TD","G","FPTS","FPTS/G","ROST"
"316","Clayton Fejedelem (FA)","4","1","0","1","0","0","0","0","9","8.3","0.9","0.3%"
"317","Thomas Graham Jr. (CLE)","5","1","0","0","0","0","0","0","1","8.3","8.3","0.3%"
"318","Erik Harris (FA)","4","3","0","0","0","0","0","0","6","8.3","1.4","0.1%"
"319","George Odum (SF)","1","0","0","1","1","0","0","0","10","8.0","0.8","0.3%"
"320","Tony Brown (IND)","1","0","1","0","0","0","0","0","7","8.0","1.1","2.8%"
"321","Tae Hayes (FA)","4","2","0","0","0","0","0","0","5","7.6","1.5","0.0%"
"322","D'Anthony Bell (CLE)","4","2","0","0","0","0","0","0","7","7.6","1.1","0.4%"
"323","Ambry Thomas (SF)","5","0","0","0","0","0","0","0","8","7.5","0.9","0.4%"
"324","Gregory Junior (JAC)","4","2","0","0","0","0","0","0","1","7.5","7.5","0.0%"
"325","Lamar Jackson (KC)","3","0","0","2","0","0","0","0","4","7.5","1.9","0.9%"
"326","John Reid (FA)","5","0","0","0","0","0","0","0","2","7.5","3.8","0.3%"
"327","Montaric Brown (JAC)","4","1","0","0","0","0","0","0","4","6.8","1.7","1.0%"
"328","Ugo Amadi (NO)","4","1","0","0","0","0","0","0","4","6.8","1.7","0.3%"
"329","Deon Bush (KC)","3","1","0","1","0","0","0","0","9","6.8","0.8","0.3%"
"330","Ashtyn Davis (NYJ)","0","0","0","1","1","0","0","0","8","6.5","0.8","17.5%"
"331","Justin Layne (FA)","3","0","0","1","0","0","0","0","3","6.0","2.0","0.1%"
"332","Jamal Adams (SEA)","3","0","0","1","0","0","0","0","1","6.0","6.0","23.1%"
"333","Justin Coleman (FA)","3","2","0","0","0","0","0","0","6","6.0","1.0","0.0%"
"334","Tyler Coyle (DAL)","4","0","0","0","0","0","0","0","2","6.0","3.0","0.7%"
"335","Jalen Davis (CIN)","0","2","0","0","0","0","1","0","2","5.6","2.8","0.4%"
"336","Robert Rochell (LAR)","1","0","0","0","0","0","1","0","10","5.5","0.6","1.1%"
"337","Xavier Rhodes (FA)","3","1","0","0","0","0","0","0","2","5.3","2.7","0.1%"
"338","Tarvarius Moore (GB)","3","1","0","0","0","0","0","0","9","5.3","0.6","1.1%"
"339","Kyle Fuller (FA)","3","0","0","0","0","0","0","0","1","4.5","4.5","0.1%"
"340","Innis Gaines (GB)","3","0","0","0","0","0","0","0","6","4.5","0.8","0.0%"
"341","Chris Claybrooks (JAC)","3","0","0","0","0","0","0","0","12","4.5","0.4","1.1%"
"342","Tre Brown (SEA)","3","0","0","0","0","0","0","0","2","4.5","2.3","0.4%"
"343","Tevaughn Campbell (JAC)","3","0","0","0","0","0","0","0","2","4.5","2.3","0.5%"
"344","Nolan Turner (TB)","1","0","0","0","0","0","0","0","1","4.0","4.0","2.2%"
"345","Delarrin Turner-Yell (DEN)","0","0","0","0","0","0","1","0","9","4.0","0.4","0.1%"
"346","Joey Blount (SEA)","0","0","0","0","0","0","1","0","8","4.0","0.5","0.0%"
"347","Elijah Lee (FA)","0","0","0","0","0","0","1","0","6","4.0","0.7","0.1%"
"348","Kevon Seymour (BAL)","0","0","0","0","0","0","1","0","4","4.0","1.0","0.1%"
"349","JT Woods (LAC)","2","1","0","0","0","0","0","0","4","3.8","1.0","1.1%"
"350","Elijah Riley (PIT)","2","1","0","0","0","0","0","0","4","3.8","1.0","0.3%"
"351","Ja'Marcus Ingram (BUF)","2","1","0","0","0","0","0","0","2","3.8","1.9","0.0%"
"352","Daniel Thomas (JAC)","2","1","0","0","0","0","0","0","6","3.8","0.6","0.4%"
"353","Bobby Price (ARI)","2","1","0","0","0","0","0","0","3","3.8","1.3","18.2%"
"354","Chris Lammons (FA)","2","1","0","0","0","0","0","0","8","3.8","0.5","1.2%"
"355","A.J. Thomas (CHI)","2","0","0","0","0","0","0","0","3","3.0","1.0","0.1%"
"356","Shaun Wade (NE)","2","0","0","0","0","0","0","0","3","3.0","1.0","0.0%"
"357","Allan George (CIN)","2","0","0","0","0","0","0","0","2","3.0","1.5","0.1%"
"358","Chase Lucas (DET)","1","1","0","0","0","0","0","0","4","2.3","0.6","3.2%"
"359","Anthony Chesley (TB)","1","1","0","0","0","0","0","0","2","2.3","1.2","0.3%"
"360","Josh Thomas (CAR)","0","3","0","0","0","0","0","0","1","2.3","2.3","0.7%"
"361","Andre Chachere (ARI)","1","1","0","0","0","0","0","0","4","2.3","0.6","0.1%"
"362","Michael Thomas (CIN)","1","1","0","0","0","0","0","0","8","2.3","0.3","0.5%"
"363","Janoris Jenkins (FA)","1","1","0","0","0","0","0","0","3","2.3","0.8","1.0%"
"364","Hamsah Nasirildeen (NYJ)","1","1","0","0","0","0","0","0","2","2.3","1.2","1.4%"
"365","Markquese Bell (DAL)","1","0","0","0","0","0","0","0","2","1.5","0.8","0.1%"
"366","Xavier Crawford (FA)","1","0","0","0","0","0","0","0","4","1.5","0.4","0.0%"
"367","Raheem Layne (LAC)","1","0","0","0","0","0","0","0","2","1.5","0.8","0.7%"
"368","Matthias Farley (FA)","1","0","0","0","0","0","0","0","10","1.5","0.2","4.0%"
"369","Mackensie Alexander (FA)","1","0","0","0","0","0","0","0","1","1.5","1.5","0.0%"
"370","Ar'Darius Washington (BAL)","1","0","0","0","0","0","0","0","2","1.5","0.8","1.2%"
"371","Nate Hairston (ARI)","0","1","0","0","0","0","0","0","1","0.8","0.8","0.3%"
"372","DiCaprio Bootle (KC)","0","1","0","0","0","0","0","0","3","0.8","0.3","0.4%"
"373","T.J. Carter (LAR)","0","1","0","0","0","0","0","0","1","0.8","0.8","0.0%"
"374","Saivion Smith (DET)","0","1","0","0","0","0","0","0","3","0.8","0.3","0.8%"
"375","Theo Jackson (MIN)","0","1","0","0","0","0","0","0","8","0.8","0.1","0.1%"
"376","Corey Ballentine (GB)","0","1","0","0","0","0","0","0","6","0.8","0.1","15.0%"
"377","Herb Miller (CAR)","0","0","0","0","0","0","0","0","2","0.0","0.0","0.3%"
"378","Chris Westry (CLE)","0","0","0","0","0","0","0","0","0","0","0","0.9%"
"379","Dylan Mabin (ARI)","0","0","0","0","0","0","0","0","0","0","0","0.3%"
"380","Rodney Randle Jr. (NE)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"381","D'Angelo Ross (HOU)","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"382","Luq Barcoo (PIT)","0","0","0","0","0","0","0","0","0","0","0","0.8%"
"383","Michael Ojemudia (CHI)","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"384","Shyheim Carter (TEN)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"385","Jake Gervase (FA)","0","0","0","0","0","0","0","0","7","0.0","0.0","19.2%"
"386","Joejuan Williams (MIN)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.3%"
"387","Bryce Hall (NYJ)","0","0","0","0","0","0","0","0","1","0.0","0.0","1.1%"
"388","Marquise Blair (FA)","0","0","0","0","0","0","0","0","3","0.0","0.0","0.1%"
"389","Ka'dar Hollman (HOU)","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"390","Kendall Sheffield (HOU)","0","0","0","0","0","0","0","0","0","0","0","0.3%"
"391","Jordan Brown (FA)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"392","Kemon Hall (LAC)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.3%"
"393","Mark Gilbert (FA)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.9%"
"394","Micah Abernathy (ATL)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.3%"
"395","Jimmy Moreland (NYJ)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.3%"
