"Rank","Player","TACKLE","ASSIST","SACK","PD","INT","FF","FR","DEF TD","G","FPTS","FPTS/G","ROST"
"258","Quinton Bell (FA)","2","1","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"259","Ulysees Gilbert III (TB)","0","0","0","0","0","0","0","0","3","0.0","0.0","0.4%"
"260","Darryl Johnson (SF)","1","2","0","0","0","0","0","0","3","0.0","0.0","0.1%"
"261","Anthony Nelson (TB)","25","19","5.5","0","0","3","1","0","17","0.0","0.0","3.2%"
"262","David Long Jr. (LV)","18","3","0","1","0","0","0","0","8","0.0","0.0","0.7%"
"263","Jacob Bobenmoyer (LV)","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"264","Curtis Bolton (LV)","0","0","0","0","0","0","0","0","5","0.0","0.0","0.4%"
"265","Matthew Orzech (GB)","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"266","Andrew Dowell (NO)","0","0","0","0","0","0","0","0","7","0.0","0.0","0.4%"
"267","Mitchell Fraboni (DEN)","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"268","Demetrius Flannigan-Fowles (SF)","6","1","1","0","0","0","0","0","11","0.0","0.0","1.1%"
"269","Nick Moore (BAL)","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"270","Del'Shawn Phillips (BAL)","0","0","0","0","0","0","0","0","6","0.0","0.0","0.4%"
"271","Jeff Gunter (FA)","0","1","0","0","0","0","0","0","3","0.0","0.0","0.1%"
"272","Isaiah Moore (KC)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"273","SirVocea Dennis (TB)","0","0","0","0","0","0","0","0","0","0","0","1.8%"
"274","Olakunle Fatukasi (NE)","0","0","0","0","0","0","0","0","4","0.0","0.0","0.1%"
"275","Arron Mosby (CAR)","1","0","0","0","0","0","0","0","1","0.0","0.0","1.1%"
"276","Cameron Goode (MIA)","0","0","0","0","0","0","0","0","2","0.0","0.0","0.3%"
"277","Amari Burney (LV)","0","0","0","0","0","0","0","0","0","0","0","0.5%"
"278","Kuony Deng (CHI)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"279","Sterling Weatherford (CHI)","0","0","0","0","0","0","0","0","6","0.0","0.0","0.0%"
"280","Chance Campbell (TEN)","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"281","DeAndre Square (LAR)","0","0","0","0","0","0","0","0","0","0","0","3.0%"
"282","De'Shaan Dixon (JAC)","0","1","0","0","0","0","0","0","1","0.0","0.0","0.7%"
"283","Luiji Vilain (MIN)","1","1","0","0","0","0","0","0","3","0.0","0.0","0.1%"
"284","Nephi Sewell (NO)","0","0","0","0","0","0","0","0","0","0","0","5.6%"
"285","Tariq Carpenter (GB)","0","0","0","0","0","0","0","0","7","0.0","0.0","0.4%"
"286","Kingsley Enagbare (GB)","18","13","3","3","0","0","0","0","16","0.0","0.0","1.2%"
"287","Ventrell Miller (JAC)","0","0","0","0","0","0","0","0","0","0","0","7.5%"
"288","Kayvon Thibodeaux (NYG)","33","16","4","5","0","2","2","1","14","0.0","0.0","31.0%"
"289","Mike Jones Jr. (ATL)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
